# Metadata: {"symbol":"GOOGL","data_points":25,"quality_grade":"Synthetic for repo tests","download_time":"2026-03-26T00:00:00Z","source":"repo_sample"}
Date,Open,High,Low,Close,Volume
2024-01-01,300,304,298,302,3000000
2024-01-02,301,305,299,303,3001000
2024-01-03,302,306,300,304,3002000
2024-01-04,303,307,301,305,3003000
2024-01-05,304,308,302,306,3004000
2024-01-06,305,309,303,307,3005000
2024-01-07,306,310,304,308,3006000
2024-01-08,307,311,305,309,3007000
2024-01-09,308,312,306,310,3008000
2024-01-10,309,313,307,311,3009000
2024-01-11,310,314,308,312,3010000
2024-01-12,311,315,309,313,3011000
2024-01-13,312,316,310,314,3012000
2024-01-14,313,317,311,315,3013000
2024-01-15,314,318,312,316,3014000
2024-01-16,315,319,313,317,3015000
2024-01-17,316,320,314,318,3016000
2024-01-18,317,321,315,319,3017000
2024-01-19,318,322,316,320,3018000
2024-01-20,319,323,317,321,3019000
2024-01-21,320,324,318,322,3020000
2024-01-22,321,325,319,323,3021000
2024-01-23,322,326,320,324,3022000
2024-01-24,323,327,321,325,3023000
2024-01-25,324,328,322,326,3024000
