# Metadata: {"symbol":"TSLA","data_points":25,"quality_grade":"Synthetic for repo tests","download_time":"2026-03-26T00:00:00Z","source":"repo_sample"}
Date,Open,High,Low,Close,Volume
2024-01-01,400,408,395,405,4000000
2024-01-02,401,409,396,406,4001000
2024-01-03,402,410,397,407,4002000
2024-01-04,403,411,398,408,4003000
2024-01-05,404,412,399,409,4004000
2024-01-06,405,413,400,410,4005000
2024-01-07,406,414,401,411,4006000
2024-01-08,407,415,402,412,4007000
2024-01-09,408,416,403,413,4008000
2024-01-10,409,417,404,414,4009000
2024-01-11,410,418,405,415,4010000
2024-01-12,411,419,406,416,4011000
2024-01-13,412,420,407,417,4012000
2024-01-14,413,421,408,418,4013000
2024-01-15,414,422,409,419,4014000
2024-01-16,415,423,410,420,4015000
2024-01-17,416,424,411,421,4016000
2024-01-18,417,425,412,422,4017000
2024-01-19,418,426,413,423,4018000
2024-01-20,419,427,414,424,4019000
2024-01-21,420,428,415,425,4020000
2024-01-22,421,429,416,426,4021000
2024-01-23,422,430,417,427,4022000
2024-01-24,423,431,418,428,4023000
2024-01-25,424,432,419,429,4024000
